Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
135000	-1693.5670067880462	-1650.150388112988	-43.416618675058295	381.89444692478037	17751.554472468986	0.38799658644952484	2.8077747907966297	33.454330784938456	-1650.150388112988
136000	-1709.042116894564	-1660.0297255307075	-49.012391363856466	544.1560254385195	18129.256638935058	0.39667327729361573	3.144712818380587	33.58635208765292	-1660.0297255307075
137000	-1706.4961258776545	-1659.6091779491917	-46.88694792846277	400.47679967559816	20332.630839295678	0.4119859802214098	2.842951675429388	30.969604614046045	-1659.6091779491917
138000	-1699.5522448177007	-1652.2587774429062	-47.29346737479445	440.2327302234455	59440.72690310824	0.40951435026288496	2.576046314432846	28.36037756118403	-1652.2587774429062
139000	-1697.4122073826302	-1653.7706795880933	-43.641527794536756	327.31565691899186	12434.57301732909	0.41684936547984053	2.686964501163243	30.90946028744661	-1653.7706795880933
140000	-1695.800488238445	-1652.016012955529	-43.78447528291595	478.6789909078996	20289.062122070307	0.4124398958410172	2.7371080128440117	33.19414300067954	-1652.016012955529
141000	-1697.161162955237	-1652.0767357774716	-45.08442717776526	497.19372426864385	16842.114681479685	0.4334348348656044	2.8915441964270348	33.628941269498895	-1652.0767357774716
142000	-1698.3699598386781	-1652.841011188395	-45.52894865028305	400.23692252615723	72583.15714011392	0.40973310873360574	2.401236674344617	27.995488595887352	-1652.841011188395
143000	-1697.2426526995944	-1651.2168716050023	-46.025781094592006	417.7489014832465	26337.471887835844	0.41896435063360615	2.730314106268533	30.127304795413746	-1651.2168716050023
144000	-1699.5284911268038	-1651.7690895650653	-47.75940156173849	484.2905463898275	34018.94230069991	0.4058084243785188	2.910244992205408	31.039036810691787	-1651.7690895650653
145000	-1702.1745855813963	-1657.2302976572823	-44.944287924113986	566.4464221546228	22704.778106227084	0.42991778441187245	2.9829978807546795	35.70474013327746	-1657.2302976572823
146000	-1701.3766140486482	-1655.5491373647392	-45.82747668390899	462.67604800778474	20335.97703510685	0.40591312924388967	2.865664307224374	32.55848940553528	-1655.5491373647392
147000	-1697.2702948814858	-1653.798519993613	-43.47177488787281	417.7585053626383	34831.965028494706	0.3943335610078243	2.6552411077548865	31.116899805605666	-1653.798519993613
148000	-1702.0457656648327	-1656.9616910472532	-45.08407461757941	526.5726054969854	23325.933027914136	0.4163935336076115	2.842020475565951	32.464938364020554	-1656.9616910472532
149000	-1702.3737705994301	-1651.032820233445	-51.340950365985314	420.2297170006525	25199.423030757822	0.3717009579340381	3.1012497857515937	32.01126423699825	-1651.032820233445
150000	-1692.57170056592	-1651.087088168215	-41.48461239770528	338.9409360283912	16084.780263975665	0.4363162273034974	2.4051182565463662	29.491829385160763	-1651.087088168215
151000	-1697.7621435581282	-1653.1832470372071	-44.57889652092109	353.5244963339286	15561.951183403336	0.3972054697813839	2.733457930177642	32.67748191757908	-1653.1832470372071
152000	-1704.1790972667984	-1657.1862410216677	-46.99285624513068	610.5973181585039	29148.262411934502	0.4249530404655801	2.879245242634631	33.24127157297986	-1657.1862410216677
153000	-1693.2676142491327	-1649.5873409297583	-43.6802733193745	336.7883230076818	13917.382288231047	0.4119213847910887	2.7091285684147497	31.626190861226515	-1649.5873409297583
154000	-1699.1308073220762	-1651.6884535661395	-47.44235375593664	549.4658578859957	54222.309625935675	0.4102130213063943	2.5762695271622214	28.758010577165027	-1651.6884535661395
155000	-1699.8946782159048	-1657.4573657487826	-42.437312467122105	470.9616349724456	22967.942787894644	0.4371539369696862	2.4027398640188142	31.3095111259457	-1657.4573657487826
156000	-1700.8847912845756	-1659.4333154848991	-41.451475799676416	424.8746088914701	28681.706392275046	0.41994690883119395	2.565182234481169	31.36751230425347	-1659.4333154848991
157000	-1701.0345079769872	-1653.1754183772553	-47.85908959973203	411.36107403529894	27250.224543498483	0.40387881782684704	2.753279585188365	28.755912028907282	-1653.1754183772553
158000	-1695.3518521266674	-1651.6352161780096	-43.716635948657654	293.5279206917798	37618.32470862875	0.4078752812973813	2.328166267482803	28.583193997031795	-1651.6352161780096
159000	-1698.3332932489222	-1651.3384115985	-46.994881650422265	421.74012827958376	18585.25723989403	0.44961528334234474	2.58537773801729	28.433906635908205	-1651.3384115985
160000	-1701.981386791043	-1659.3954727072187	-42.58591408382438	396.1070845321387	58568.691479685316	0.4264568623208199	2.0721983392957726	26.915448806750657	-1659.3954727072187
161000	-1700.830612059519	-1656.456107408173	-44.37450465134583	533.2776525848435	18515.0005286245	0.4144234923495573	2.962756186143505	34.60859402867291	-1656.456107408173
162000	-1695.9530228164574	-1652.804628831444	-43.14839398501344	307.6269758365789	32747.894633303447	0.3914968823395119	2.498278007940633	28.46261052963245	-1652.804628831444
163000	-1695.7397923328535	-1654.4406877385761	-41.29910459427748	324.8008005346461	23226.866421229646	0.39503798335960877	2.6153326586426746	30.852406830585288	-1654.4406877385761
164000	-1701.0029319547434	-1653.44511493206	-47.557817022683274	831.8508083384713	45915.02592382831	0.42429407348190373	2.7248497719668348	32.05341594305038	-1653.44511493206
